Categoria,Subcategoria,Modelo,Descripcion,Dimensiones_W,Dimensiones_D,Dimensiones_H,Material_Top,Material_Base,Acabado,Color_Opciones,Caracteristicas,Componentes,Opciones,Capacidad_Peso,Peso,Notas,Pagina
Storage,Multipurpose,Wall Storage Bench,"SB-4PM",72,30,"36-1/4","HPL 1-1/4","Hardwood","UV Finish","Almond","72""x30""x36.25"" storage bench","Seven dovetailed drawers","Locking doors","Maple BB or HPL top",500,,"41.25""H with maple top",81
Storage,Multipurpose,Flat File Cabinet,"FFS-3624K",40.5,27,17,"HPL 1-1/4","Hardwood","UV Finish","Almond","40.5""x27""x17"" flat file","Five 1-5/8""H drawers","Full extension glides","Stack up to 3 units",,,,"Sub-bottom required",81
Storage,Multipurpose,Large Paper Cabinet,"DPSC-50M",50,30,"36-1/4","HPL 1-1/4","Hardwood","UV Finish","Almond","50""x30""x36.25"" paper cabinet","Seven 2-5/8""H drawers","1-1/4"" almond HPL top","Locking three-point",,,"Wall mounting required",81
Storage,Art,Tall Door Cabinet,"354-4830M",48,30,84,"Hardwood","Hardwood","UV Finish","Natural","48""x30""x84"" tall storage","Seven 4""H drawers (100lb cap)","Three adjustable shelves","Three-point locking",100,,"Drawer limit 100lbs",82
Storage,Art,Portfolio Cabinet,"333-3630M",36,30,84,"Hardwood","Hardwood","UV Finish","Natural","36""x30""x84"" portfolio storage","Three-tier compartment","Removable dividers","Holds 42 portfolios",,,"24""x30"" max size",82
Storage,Art,Drawing Storage Cabinet,"DBC-1M",32,22,84,"Hardwood","Hardwood","UV Finish","Natural","32""x22""x84"" drawing cabinet","25 slots 20""x26"" (2.5lb cap)","Three-point locking","Unfinished back",,,"Wall mounting required",82
Storage,Art,Canvas Display Cabinet,"359-4822M",48,22,84,"Hardwood","Hardwood","UV Finish","Natural","48""x22""x84"" display cabinet","Black canvas mesh doors","Fixed + 4 adjustable shelves","Three-point locking",40,,"40lb per shelf",83
Storage,Multipurpose,Display Case,"380-4822M",48,22,84,"Hardwood","Hardwood","UV Finish","Natural","48""x22""x84"" display case","Sliding locking glass doors","Four adjustable glass shelves","Light included",30,,"30lb per shelf",83
Seating,Benches,Perspective Bench,"AB-4812",48,12,17.5,"Maple BB 1-1/4","Hardwood","UV Finish","Natural","48""x12""x17.5"" double bench","1-1/4"" thick maple seat","Earth-friendly UV finish","Double seat configuration",400,,,56
Seating,Benches,Avenuu Bench,"AFB58125B18N",58,12,18,"Maple BB 1-1/4","Steel","Black Powder Coat","Natural","58""x12""x18"" bench","46"" or 58"" width","14-gauge C-channel support","Non-marring glides",400,,"Steel frame colors available",56
Seating,Health,Athletic Taping Station,"ATT-S-273636MB",27,36,36,"Vinyl 2","Hardwood","UV Finish","Black","27""x36""x36"" taping station","2"" thick vinyl cushions","Swing hollow drawer","End cabinets with open shelf",500,,"Black or dove gray",57
Seating,Health,Training Bench,"FAB-7230M",72,30,27,"Vinyl 2","Hardwood","UV Finish","Black","72""x30""x27"" trainer bench","Built-in headrest option","2"" or 4.75"" cushion","Self-leveling glides",500,,"Easy-clean vinyl",57
Storage,Science,Fume Hood Cabinet,"1800M",35.625,29,"79.5-86.3","N/A","Steel/Chemical Resistant Acrylic","Gray","N/A","35.625""x29""x79.5-86.375""H","5/16"" chemical resistant acrylic","LED lighting >650 Lux","Smart-light communication",265,,"Filter life 2 years",42
Storage,Science,Mobile Hot Water Station,"HWS-3624K",36,24,36,"HPL","Hardwood","UV Finish","Black","36""x24""x36"" hot water","5-gallon fresh tank","6-gallon waste tank","Heats 10-15° warmer",,,"NSF/UL/FDA approved",43
Storage,Science,Hand-Washing Station,"WSP2-36M",24,24,36,"Phenolic 3/4","Hardwood","UV Finish","Black","24""x24""x36"" wash station","Four 5-gallon tanks","Gooseneck faucet","Foot pump operation",,,"ADA compliant",43
Storage,All,Heavy-Duty Book Truck,"BT-LOC",39,16.88,43.5,"Hardwood","Hardwood","UV Finish","Natural","39""x16.88""x43.5"" book truck","Three fixed shelves","1"" panels w/ 1/4"" rods","Two 5"" rigid + two 5"" swivel casters",300,,,90
Storage,All,Bookcase,"OS-1409M",36,12,84,"Oak Veneer","Oak Hardwood","UV Finish","Natural","36""x12""x84"" bookcase","Adjustable shelves","Flush toe-kick","40lb per shelf capacity",40,,"Multiple heights available",91
